,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,y
847,-7.59600306,6.30820084,-5.17334843,9.12747383,-1.27517283,3.82715678,1.69761229,-1.55427265,6.20006752,-1.66822243,1.18166256,6.25037479,3.41107321,2.36283684,-0.03139925,5.68593264,-5.77708149,-2.79665065,-0.49627987,2.15725088,-2.14976668,0.09236759,-8.09187794,1.64312172,0.78830671,-3.88446879,2.16773939,1.97553229,-1.39291382,-1.50627208,-1.5845021,0.20250988,2.07610106,0.52242506,2.59226155,-0.41085902,-0.83549452,0.10782659,0.70182431,-0.25333917,0.95117474,-2.71879363,-1.90715325,1.75511348,-1.41193712,1.09739637,0.95098156,0.99105811,-0.93378425,0.0822829,0.35202706,-0.01964927,0.09513831,-1.85537052,1.36660457,2.32000828,0.81234658,-1.47187412,1.09300876,-0.74416316,0.08474712,-0.35762295,0.49020255,1.96989655,5
55,-13.78573132,-4.35349274,6.26987934,-1.52448702,4.35426903,2.27330208,-7.12767315,-3.30416417,0.04940891,0.22470903,-0.84521794,2.37421298,-0.04499638,2.38661551,0.06398034,0.81292009,3.44394183,-3.01964498,-3.42168713,3.92456484,-1.82389069,1.29452991,5.06552887,0.85411882,-0.26554754,-0.32852432,1.90387475,1.00986648,0.85159707,1.11236751,-1.48430336,-0.86455941,0.15378748,-0.09901696,0.01752067,-0.74832106,-0.05673361,0.37312263,-0.66410005,-0.11042234,0.52729785,-0.50865483,-0.28660041,-0.67743772,1.13574612,1.24220431,1.04528069,-0.22121215,0.19559881,0.24977076,-0.5996182,-1.07852745,-0.80441499,-0.43815029,-1.3643775,0.27648377,-1.13054347,-0.92486513,-1.60123086,0.28384662,0.59999448,-0.41012296,0.02790755,1.2581979,1
561,2.52962828,1.38364172,7.72201586,-0.07166559,-0.59717238,-2.88998342,-2.6605258,4.56388569,6.64995527,-7.17782784,-3.35530806,-3.57953715,-0.16014493,-3.82691383,2.29518199,-3.05531216,-2.35860538,-0.25867426,5.08101368,1.06742716,2.22619963,-1.5082736,-0.70949364,-0.38297105,-3.90576601,-2.29623103,2.23212481,-3.51660657,2.21752787,1.90923035,0.34196341,2.91571093,1.59440184,0.69787681,2.42570114,-0.36967936,0.81416345,-2.62152219,0.31112218,-2.09533548,0.92331982,-0.77512991,-1.11364603,1.92215264,3.28005123,-2.39256406,-1.62038565,-3.65781236,-1.46006179,-0.51236051,0.11999622,0.00452048,-1.4661572,1.05125344,2.67226887,0.71698606,0.82678723,-1.37326109,-0.34242284,1.73079336,0.13765548,-0.62612116,0.59255171,1.86813617,3
1759,-9.57411766,-6.82769918,4.61051321,0.75845301,6.52984619,-1.5606277,-6.69941616,2.38152742,1.06556606,-6.26035976,1.40761387,-4.81925488,0.49042261,0.71712571,-1.14757872,5.84517288,2.16069436,1.89501572,-1.95543838,-1.56005049,-1.16271806,-2.03332186,0.66115659,2.59410238,1.07303226,-1.70328212,3.36928701,0.13231826,-0.05983162,-0.22277969,0.01691771,0.03972125,-0.44342291,0.66063142,1.05842435,-0.94614148,-1.34260273,1.30335045,-0.75686443,3.09530663,-0.7435025,-0.73168039,0.02834974,-0.52079934,0.11204302,-0.77060032,0.00383377,-1.18133473,-3.20969892,0.1547637,1.04659545,-0.13372397,-0.44811893,-0.68406987,-0.03704458,1.48699689,1.23616815,-2.82726455,0.14158392,0.84828401,0.41513532,0.18508714,-0.75203991,1.55886054,9
969,-7.58421469,5.2777977,-11.20727158,-0.07758348,-2.63508463,2.22895813,3.38337159,0.32354796,7.8010149,-3.58794618,-0.42254424,6.28390694,4.72786188,0.79352254,-2.59321976,-0.38963914,-2.6385529,5.09679508,0.29293621,-1.58260202,-1.01384294,-1.79632306,1.06352329,0.59040475,1.17974102,-5.56905842,0.66629541,4.27506351,-0.28903055,1.03930795,1.63684547,-2.88926482,-1.63298488,-3.32836103,-1.66701198,3.2403338,-0.63305414,1.5840987,-3.50179815,0.73426318,1.52039075,-2.95541215,-2.22096825,0.13564008,-0.00251257,-0.56057811,0.81247735,-1.00920248,1.65772128,2.55233908,-1.96008658,-1.37658596,-0.19804358,0.76011539,0.94432688,2.00500202,-0.10309529,0.89021838,0.2769264,-0.28494507,-1.44403505,-0.14875183,0.60041547,-0.81029922,5
1970,7.31047583,-9.85243225,1.20927072,-1.1311276,3.2400713,4.09465218,0.17273688,-3.32368731,-3.62188387,0.65981853,-1.01631141,-0.82082486,2.78074932,7.61440277,-1.25068474,-0.21718955,-0.50941074,2.99182677,-2.69429469,1.90431547,-0.32917309,-1.7938509,-4.58083916,-1.60408485,2.61217594,0.17062636,-0.34357357,-2.43244457,-0.30204916,-1.12877631,-2.72394371,0.68945265,-0.70896351,-0.90777403,1.94914889,-0.81217897,0.38729668,0.36956203,-1.18777406,0.43646705,-2.11495876,-0.61417282,-0.42402929,-1.49634445,-1.94092309,0.1186254,-0.19869129,-3.492028,1.38970518,-1.62146878,1.15204644,-1.84038186,1.07321739,0.0156368,-0.76288241,-3.2075386,-1.65525627,0.28490543,-0.52101552,-0.78926075,1.81005979,1.22114301,2.56229305,-0.39448234,10
1744,-3.01607823,-2.47619867,-0.65478021,5.58454227,2.76001453,0.38804156,-6.14485168,-0.70364392,5.48568201,-6.59669685,-0.19646502,-0.79372382,-2.03234291,-1.84468842,-2.34297657,5.02514267,0.91728663,6.16281796,2.16433811,0.83509254,-3.55654478,-3.58188486,-6.55210733,4.15710545,-1.07138467,1.89580512,0.11493427,-1.05568659,-0.22587919,-2.78414488,1.77414441,0.86164331,-0.69120508,1.97326493,0.38028908,-2.0428493,0.35858464,1.88673723,3.3583951,-0.18876213,0.03668618,-0.84103793,3.37438369,1.33761859,4.28656435,0.10269788,-1.62631893,-0.44013143,-0.28103489,1.01398373,-0.00187398,1.52113461,-0.09091663,-1.36098695,0.5524981,0.94605505,-1.38663387,-0.1945575,0.36104119,-0.21532321,-0.08217938,-0.2602289,0.26492405,1.06031013,9
1630,-6.95089054,-2.49805355,6.37668419,-1.70868146,7.03626919,4.46236086,-2.94220114,-0.37527061,1.73275042,-6.68129396,-0.5023725,-0.02704096,-1.00826168,2.65933013,-2.19736099,-4.562644,0.68226099,-0.01772684,2.14623904,2.8943305,-7.08788252,0.00239366,-1.89527166,3.80130577,1.70878255,1.08629644,1.28800225,-1.69928741,-1.83969355,-0.75304407,0.17165518,-0.92404759,0.13294144,-1.9511075,2.12451982,-0.94746065,1.17112017,0.21635556,-1.15800059,-2.78168821,-1.35856855,-0.37614256,2.94278002,-0.34469181,-0.72482407,-1.94600809,1.63389421,-0.37230873,-0.61735237,-0.63106906,0.04643443,-0.46017933,0.07825089,1.46452284,1.55458605,-1.56103766,-0.93343759,1.00583231,-1.04504406,-1.0808388,0.43009788,-0.02027985,-0.62526143,-0.84684056,9
1492,13.73132801,-2.45323181,3.99907827,3.61124516,-2.71846271,3.29936266,-1.52177477,0.31874305,-2.24325371,2.86496496,-1.87481594,-1.00965381,0.68300712,-3.19937611,2.17674708,2.92817211,0.31531072,1.91306305,2.87233329,1.73707247,4.31301451,0.30068821,2.39606857,1.54238129,1.38495004,1.48516083,-1.20512843,-1.38854218,0.20056486,0.8859936,-2.75421524,-0.307441,-1.32328844,0.3468855,-1.55416083,-1.3151089,0.1651001,2.65224242,0.26268625,1.24302971,-0.79033864,1.79416561,-0.56649387,-1.7492125,-1.46269429,0.34969428,-0.18739705,-0.93895793,2.59733462,-2.437222,0.06953879,0.26071137,2.05928278,0.26730275,0.93692625,-1.74889123,0.51356673,0.19792461,1.19926262,-0.79435337,-1.10941827,-0.87373066,-0.07671529,-1.35033476,8
1979,11.00705719,-0.9418633,7.17324734,-7.27097368,4.07244778,-0.62111378,-4.68748379,5.59836483,0.33300734,-4.2359314,-0.3194344,2.31121159,-0.95417976,-0.20798418,0.54707026,0.58537447,2.39939809,3.24912858,-3.9376967,2.51930618,1.65181959,-2.19721818,-1.96566713,-3.64084005,2.50707006,-0.26168692,0.22628516,2.72597098,0.13236451,1.69265783,-0.88977158,-0.44171405,0.72828776,-0.28327376,1.70395505,1.69168687,-2.11976528,0.3690244,0.45519865,2.97298598,0.16155827,-1.00985408,1.52311122,-2.35049319,-0.78303027,-0.5141502,0.98901415,1.47779548,1.00316954,0.59614694,0.86566871,-1.42743945,0.03853583,-0.45454848,1.58180821,-0.61828065,0.21008873,0.45277125,-1.92850685,-0.0360055,-1.54259217,0.68342286,1.01916277,0.75088906,10
